"question","treatment","count","facts_total","pct"
"Q1_positive_attribution","T1_dependency_sbom","0","48","0.0"
"Q1_positive_attribution","T2_pattern_heuristic","36","48","75.0"
"Q1_positive_attribution","T2b_codeql","pending","48","pending"
"Q1_positive_attribution","T3_capa_by_construction","38","48","79.2"
"Q2_false_clearance","T1_dependency_sbom","48","48","100.0"
"Q2_false_clearance","T2_pattern_heuristic","12","48","25.0"
"Q2_false_clearance","T2b_codeql","pending","48","pending"
"Q2_false_clearance","T3_capa_by_construction","0","48","0.0"
